[2023/04/08 02:43:04:250] kevodanh đã giao dịch với admin và nhận được Item: 873. Số lượng: 1
[2023/04/08 10:06:41:099] kevodanh đã mua 1 item 554 với giá 0 xu 0 yên 500 lượng
[2023/04/08 10:07:03:004] kevodanh đã mua 1 item 377 với giá 0 xu 0 yên 500 lượng
[2023/04/08 10:07:04:947] kevodanh đã mua 1 item 313 với giá 0 xu 0 yên 500 lượng
[2023/04/08 10:08:30:684] kevodanh đã mua 1 item 66 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 10:08:31:621] kevodanh đã mua 1 item 65 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 10:08:34:383] kevodanh đã mua 1 item 64 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 10:08:36:020] kevodanh đã mua 1 item 63 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 10:08:37:529] kevodanh đã mua 1 item 62 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 10:08:38:918] kevodanh đã mua 1 item 61 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 10:08:40:512] kevodanh đã mua 1 item 60 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 10:08:42:050] kevodanh đã mua 1 item 59 với giá 1000 xu 0 yên 0 lượng
[2023/04/08 10:15:05:354] kevodanh đã mua 1 item 490 với giá 0 xu 0 yên 6000 lượng
[2023/04/08 01:14:52:182] kevodanh đã mua 1 item 29 với giá 0 xu 5000 yên 0 lượng
[2023/04/08 01:14:54:417] kevodanh đã mua 1 item 29 với giá 0 xu 5000 yên 0 lượng
[2023/04/08 01:21:17:271] kevodanh đã mua 1 item 363 với giá 100000 xu 0 yên 0 lượng
[2023/04/08 01:21:32:581] kevodanh đã mua 1 item 359 với giá 100000 xu 0 yên 0 lượng
[2023/04/08 01:21:56:083] kevodanh đã mua 1 item 361 với giá 120000 xu 0 yên 0 lượng
[2023/04/08 01:22:16:683] kevodanh đã mua 1 item 357 với giá 100000 xu 0 yên 0 lượng
[2023/04/08 01:22:29:330] kevodanh đã mua 1 item 355 với giá 100000 xu 0 yên 0 lượng
[2023/04/08 01:22:47:911] kevodanh đã mua 1 item 362 với giá 160000 xu 0 yên 0 lượng
[2023/04/08 01:23:04:170] kevodanh đã mua 1 item 360 với giá 120000 xu 0 yên 0 lượng
[2023/04/08 01:23:38:244] kevodanh đã mua 1 item 358 với giá 160000 xu 0 yên 0 lượng
[2023/04/08 01:23:49:065] kevodanh đã mua 1 item 356 với giá 140000 xu 0 yên 0 lượng
[2023/04/08 01:25:41:614] kevodanh đã mua 1 item 333 với giá 1200000 xu 0 yên 0 lượng
[2023/04/08 05:11:31:278] kevodanh đã mua 1 item 799 với giá 0 xu 0 yên 1000 lượng
[2023/04/08 05:11:34:124] kevodanh đã mua 1 item 796 với giá 0 xu 0 yên 2000 lượng
[2023/04/08 05:11:36:271] kevodanh đã mua 1 item 896 với giá 0 xu 0 yên 2000 lượng
[2023/04/08 05:12:38:643] kevodanh đã mua 100 item 340 với giá 0 xu 0 yên 1000 lượng
[2023/04/08 05:16:24:760] kevodanh đã mua 1 item 35 với giá 0 xu 1000 yên 0 lượng
[2023/04/08 05:18:44:465] kevodanh đã mua 1 item 242 với giá 0 xu 0 yên 10 lượng
[2023/04/08 05:18:45:490] kevodanh đã mua 1 item 242 với giá 0 xu 0 yên 10 lượng
[2023/04/08 05:18:46:331] kevodanh đã mua 1 item 242 với giá 0 xu 0 yên 10 lượng
[2023/04/08 05:18:48:143] kevodanh đã mua 1 item 242 với giá 0 xu 0 yên 10 lượng
[2023/04/08 05:31:48:687] kevodanh đã mua 400 item 340 với giá 0 xu 0 yên 4000 lượng
[2023/04/08 05:36:06:499] kevodanh đã mua 1 item 269 với giá 0 xu 0 yên 30 lượng
