[2023/04/16 12:01:42:288] hieudz đã mua 55 item 340 với giá 0 xu 0 yên 550 lượng
[2023/04/16 12:01:57:729] conghii đã mua 1 item 537 với giá 0 xu 0 yên 200 lượng
[2023/04/16 12:02:05:470] conghii đã mua 1 item 537 với giá 0 xu 0 yên 200 lượng
[2023/04/16 12:02:06:672] conghii đã mua 1 item 537 với giá 0 xu 0 yên 200 lượng
[2023/04/16 12:03:07:934] bentayga đã mua 1 item 537 với giá 0 xu 0 yên 200 lượng
[2023/04/16 12:03:09:219] bentayga đã mua 1 item 537 với giá 0 xu 0 yên 200 lượng
[2023/04/16 12:04:05:509] quatbuff đã mua 1 item 537 với giá 0 xu 0 yên 200 lượng
[2023/04/16 12:04:06:060] quatbuff đã mua 1 item 537 với giá 0 xu 0 yên 200 lượng
[2023/04/16 12:05:39:277] quacs2 đã giao dịch với admin và nhận được Item: 309. Số lượng: 1
[2023/04/16 12:05:39:278] quacs2 đã giao dịch với admin và nhận được Item: 309. Số lượng: 1
[2023/04/16 12:05:39:278] quacs2 đã giao dịch với admin và nhận được Item: 309. Số lượng: 1
[2023/04/16 12:05:39:279] quacs2 đã giao dịch với admin và nhận được Item: 309. Số lượng: 1
[2023/04/16 12:05:39:279] quacs2 đã giao dịch với admin và nhận được Item: 309. Số lượng: 1
[2023/04/16 12:05:39:279] quacs2 đã giao dịch với admin và nhận được Item: 309. Số lượng: 1
[2023/04/16 12:05:39:279] quacs2 đã giao dịch với admin và nhận được Item: 309. Số lượng: 1
[2023/04/16 12:05:39:280] quacs2 đã giao dịch với admin và nhận được Item: 309. Số lượng: 1
[2023/04/16 12:05:39:280] quacs2 đã giao dịch với admin và nhận được Item: 309. Số lượng: 1
[2023/04/16 12:05:39:280] quacs2 đã giao dịch với admin và nhận được Item: 309. Số lượng: 1
[2023/04/16 12:05:39:280] quacs2 đã giao dịch với admin và nhận được Item: 308. Số lượng: 1
[2023/04/16 12:05:39:281] quacs2 đã giao dịch với admin và nhận được Item: 308. Số lượng: 1
[2023/04/16 12:09:45:257] thaitrumdz đã giao dịch với admin và nhận được Item: 331. Số lượng: 1
[2023/04/16 12:11:12:279] orange đã mua 1 item 317 với giá 60000 xu 0 yên 0 lượng
[2023/04/16 12:11:17:889] bakugan đã giao dịch với xebenz và nhận được Item: 706. Số lượng: 3581
[2023/04/16 12:12:23:419] orange đã mua 10 item 242 với giá 0 xu 0 yên 100 lượng
[2023/04/16 12:12:55:424] admin đã giao dịch với thaitrumdz và nhận được Item: 331. Số lượng: 1
[2023/04/16 12:12:55:620] haianh đã mua 1 item 270 với giá 0 xu 0 yên 150 lượng
[2023/04/16 12:18:08:390] shinee đã giao dịch với bakugan và nhận được Item: 706. Số lượng: 7151
[2023/04/16 12:19:07:634] thaitrumdz đã giao dịch với admin và nhận được Item: 385. Số lượng: 1
[2023/04/16 12:19:07:635] thaitrumdz đã giao dịch với admin và nhận được Item: 385. Số lượng: 1
[2023/04/16 12:19:07:635] thaitrumdz đã giao dịch với admin và nhận được Item: 385. Số lượng: 1
[2023/04/16 12:19:07:636] thaitrumdz đã giao dịch với admin và nhận được Item: 385. Số lượng: 1
[2023/04/16 12:19:07:636] thaitrumdz đã giao dịch với admin và nhận được Item: 385. Số lượng: 1
[2023/04/16 12:19:07:636] thaitrumdz đã giao dịch với admin và nhận được Item: 385. Số lượng: 1
[2023/04/16 12:19:07:636] thaitrumdz đã giao dịch với admin và nhận được Item: 385. Số lượng: 1
[2023/04/16 12:19:07:636] thaitrumdz đã giao dịch với admin và nhận được Item: 385. Số lượng: 1
[2023/04/16 12:19:07:637] thaitrumdz đã giao dịch với admin và nhận được Item: 385. Số lượng: 1
[2023/04/16 12:19:07:637] thaitrumdz đã giao dịch với admin và nhận được Item: 385. Số lượng: 1
[2023/04/16 12:19:07:637] thaitrumdz đã giao dịch với admin và nhận được Item: 385. Số lượng: 1
[2023/04/16 12:20:32:299] shinee đã mua 1 item 37 với giá 0 xu 0 yên 50 lượng
[2023/04/16 12:23:39:542] admin đã giao dịch với thaitrumdz và nhận được Item: 331. Số lượng: 1
[2023/04/16 12:23:56:646] traingheo đã giao dịch với ghuggt và nhận được Item: 332. Số lượng: 1
[2023/04/16 12:23:56:646] traingheo đã giao dịch với ghuggt và nhận được Item: 321. Số lượng: 1
[2023/04/16 12:23:56:646] traingheo đã giao dịch với ghuggt và nhận được Item: 321. Số lượng: 1
[2023/04/16 12:23:56:647] traingheo đã giao dịch với ghuggt và nhận được Item: 321. Số lượng: 1
[2023/04/16 12:23:56:647] traingheo đã giao dịch với ghuggt và nhận được Item: 323. Số lượng: 1
[2023/04/16 12:23:56:647] traingheo đã giao dịch với ghuggt và nhận được Item: 318. Số lượng: 1
[2023/04/16 12:23:56:647] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:23:56:647] traingheo đã giao dịch với ghuggt và nhận được Item: 317. Số lượng: 1
[2023/04/16 12:23:56:647] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:23:56:648] traingheo đã giao dịch với ghuggt và nhận được Item: 322. Số lượng: 1
[2023/04/16 12:23:56:648] traingheo đã giao dịch với ghuggt và nhận được Item: 324. Số lượng: 1
[2023/04/16 12:23:56:648] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:24:27:992] orange đã mua 10 item 284 với giá 0 xu 0 yên 450 lượng
[2023/04/16 12:25:05:828] traingheo đã giao dịch với ghuggt và nhận được Item: 320. Số lượng: 1
[2023/04/16 12:25:05:829] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:25:05:829] traingheo đã giao dịch với ghuggt và nhận được Item: 322. Số lượng: 1
[2023/04/16 12:25:05:829] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:25:05:829] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:25:05:829] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:25:05:829] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:25:05:830] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:25:05:830] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:25:05:830] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:25:05:830] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:25:05:830] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:25:28:805] admin đã mua 1 item 271 với giá 0 xu 0 yên 500 lượng
[2023/04/16 12:25:54:691] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:25:54:691] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:25:54:691] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:25:54:692] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:25:54:692] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:25:54:692] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:25:54:692] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:25:54:692] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:25:54:692] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:25:54:693] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:25:54:693] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:25:54:693] traingheo đã giao dịch với ghuggt và nhận được Item: 7. Số lượng: 1
[2023/04/16 12:26:42:647] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:26:42:648] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:26:42:648] traingheo đã giao dịch với ghuggt và nhận được Item: 8. Số lượng: 1
[2023/04/16 12:26:42:648] traingheo đã giao dịch với ghuggt và nhận được Item: 285. Số lượng: 1
[2023/04/16 12:26:42:649] traingheo đã giao dịch với ghuggt và nhận được Item: 285. Số lượng: 1
[2023/04/16 12:26:42:649] traingheo đã giao dịch với ghuggt và nhận được Item: 285. Số lượng: 1
[2023/04/16 12:26:42:649] traingheo đã giao dịch với ghuggt và nhận được Item: 285. Số lượng: 1
[2023/04/16 12:26:42:649] traingheo đã giao dịch với ghuggt và nhận được Item: 285. Số lượng: 1
[2023/04/16 12:26:42:649] traingheo đã giao dịch với ghuggt và nhận được Item: 285. Số lượng: 1
[2023/04/16 12:26:42:649] traingheo đã giao dịch với ghuggt và nhận được Item: 285. Số lượng: 1
[2023/04/16 12:26:42:650] traingheo đã giao dịch với ghuggt và nhận được Item: 285. Số lượng: 1
[2023/04/16 12:26:42:650] traingheo đã giao dịch với ghuggt và nhận được Item: 285. Số lượng: 1
[2023/04/16 12:27:07:902] thaitrumdz đã giao dịch với admin và nhận được Item: 331. Số lượng: 1
